MethodofDelivery,Below 15,15-19,20-24,25-29,30-34,35-39,40-44,45 & Above,Not Stated,Area,Year
Natural,0,9880,550694,273891,52706,11197,1115,157,0,All,2011
Caesarean,0,1064,96293,67918,21964,5084,389,21,0,All,2011
Forceps/Vacuum,0,145,9522,5001,1248,231,39,3,0,All,2011
Not Stated,0,0,0,0,0,0,0,0,0,All,2011
Natural,0,5238,338066,181147,40229,8599,766,102,0,Urban,2011
Caesarean,0,971,88743,63960,20963,4887,370,21,0,Urban,2011
Forceps/Vacuum,0,120,8076,4511,1147,210,37,2,0,Urban,2011
Not Stated,0,0,0,0,0,0,0,0,0,Urban,2011
Natural,0,4642,212628,92744,12477,2598,349,55,0,Rural,2011
Caesarean,0,93,7550,3958,1001,197,19,0,0,Rural,2011
Forceps/Vacuum,0,25,1446,490,101,21,2,1,0,Rural,2011
Not Stated,0,0,0,0,0,0,0,0,0,Rural,2011
Natural,0,18510,470649,264481,48190,9260,825,157,0,All,2014
Caesarean,0,3350,116159,95556,29024,6051,516,34,0,All,2014
Forceps/Vacuum,0,262,9844,11981,2257,404,20,0,0,All,2014
Not Stated,0,0,0,0,0,0,0,0,0,All,2014
Natural,0,12581,317807,183946,37621,7142,602,107,0,Urban,2014
Caesarean,0,3037,104550,88975,27407,5649,478,18,0,Urban,2014
Forceps/Vacuum,0,198,7994,9848,2023,371,19,0,0,Urban,2014
Not Stated,0,0,0,0,0,0,0,0,0,Urban,2014
Natural,0,5929,152842,80535,10569,2118,223,50,0,Rural,2014
Caesarean,0,313,11609,6581,1617,402,38,16,0,Rural,2014
Forceps/Vacuum,0,64,1850,2133,234,33,1,0,0,Rural,2014
Not Stated,0,0,0,0,0,0,0,0,0,Rural,2014
Natural,0,25822,396460,261354,48584,9990,1168,351,0,All,2015
Caesarean,0,8558,125341,118235,34855,7355,756,78,0,All,2015
Forceps/Vacuum,0,482,6620,5507,1400,306,21,5,0,All,2015
Not Stated,0,0,0,0,0,0,0,0,0,All,2015
Natural,0,19832,289170,195117,38836,7869,811,196,0,Urban,2015
Caesarean,0,8007,115273,109728,32546,6884,710,60,0,Urban,2015
Forceps/Vacuum,0,420,5650,4986,1289,278,17,4,0,Urban,2015
Not Stated,0,0,0,0,0,0,0,0,0,Urban,2015
Natural,0,5990,107290,66237,9748,2121,357,155,0,Rural,2015
Caesarean,0,551,10068,8507,2309,471,46,18,0,Rural,2015
Forceps/Vacuum,0,62,970,521,111,28,4,1,0,Rural,2015
Not Stated,0,0,0,0,0,0,0,0,0,Rural,2015
Natural,0,27006,463954,272621,52885,11016,1101,285,0,All,2016
Caesarean,0,8393,115159,99562,36233,8483,757,58,0,All,2016
Forceps/Vacuum,0,418,4242,3488,1288,287,20,2,0,All,2016
Not Stated,0,0,0,0,0,0,0,0,0,All,2016
Natural,0,21041,331221,203790,44370,9484,875,186,0,Urban,2016
Caesarean,0,8048,109072,95797,35067,8216,738,57,0,Urban,2016
Forceps/Vacuum,0,367,3810,3249,1235,276,17,2,0,Urban,2016
Not Stated,0,0,0,0,0,0,0,0,0,Urban,2016
Natural,0,5965,132733,68831,8515,1532,226,99,0,Rural,2016
Caesarean,0,345,6087,3765,1166,267,19,1,0,Rural,2016
Forceps/Vacuum,0,51,432,239,53,11,3,0,0,Rural,2016
Not Stated,0,0,0,0,0,0,0,0,0,Rural,2016
