,District,Place,Male,Female,Total,Within_the_area,Outside_the_area,Outside_the_state,,,,,,,,,,,,,
1,BELGAUM,URBAN,19348,20409,39757,16800,22957,1846,,,,,,,,,,,,,
,BELGAUM,RURAL,26217,22514,48731,45522,3209,1318,,,,,,,,,,,,,
,BELGAUM,TOTAL,45565,42923,88488,62322,26166,3164,,,,,,,,,,,,,
,Belgaum CC,,6660,7607,14267,7879,6388,618,,,,,,,,,,,,,
2,BAGALKOT,URBAN,9074,8822,17896,8465,9431,330,,,,,,,,,,,,,
,BAGALKOT,RURAL,9442,8986,18428,17004,1424,68,,,,,,,,,,,,,
,BAGALKOT,TOTAL,18516,17808,36324,25469,10855,398,,,,,,,,,,,,,
3,BIJAPUR,URBAN,7440,7517,14957,6856,8101,404,,,,,,,,,,,,,
,BIJAPUR,RURAL,11641,10199,21840,21123,717,88,,,,,,,,,,,,,
,BIJAPUR,TOTAL,19081,17716,36797,27979,8818,492,,,,,,,,,,,,,
,Bijapur CC,,4492,5274,9766,4877,4889,390,,,,,,,,,,,,,
4,GULBARGA,URBAN,7991,7251,15242,12631,2611,91,,,,,,,,,,,,,
,GULBARGA,RURAL,15721,14743,30464,29989,475,73,,,,,,,,,,,,,
,GULBARGA,TOTAL,23712,21994,45706,42620,3086,164,,,,,,,,,,,,,
,Gulbarga CC,,6731,5981,12712,10494,2218,88,,,,,,,,,,,,,
5,BIDAR,URBAN,5315,5097,10412,5361,5051,266,,,,,,,,,,,,,
,BIDAR,RURAL,8395,7620,16015,15820,195,91,,,,,,,,,,,,,
,BIDAR,TOTAL,13710,12717,26427,21181,5246,357,,,,,,,,,,,,,
,Bidar CC,,2854,2716,5570,3824,1746,171,,,,,,,,,,,,,
6,RAICHUR,URBAN,5235,5056,10291,6485,3806,66,,,,,,,,,,,,,
,RAICHUR,RURAL,10694,9615,20309,19954,355,17,,,,,,,,,,,,,
,RAICHUR,TOTAL,15929,14671,30600,26439,4161,83,,,,,,,,,,,,,
,Raichur CMC,,2608,2611,5219,4112,1107,41,,,,,,,,,,,,,
7,KOPPALA,URBAN,2011,1629,3640,2867,773,5,,,,,,,,,,,,,
,KOPPALA,RURAL,11218,9643,20861,20399,462,27,,,,,,,,,,,,,
,KOPPALA,TOTAL,13229,11272,24501,23266,1235,32,,,,,,,,,,,,,
8,GADAG,URBAN,5078,5239,10317,4157,6160,100,,,,,,,,,,,,,
,GADAG,RURAL,5928,5720,11648,9434,2214,19,,,,,,,,,,,,,
,GADAG,TOTAL,11006,10959,21965,13591,8374,119,,,,,,,,,,,,,
,Gadag-Betigeri CMC,,2765,2960,5725,2026,3699,83,,,,,,,,,,,,,
9,DHARWAD,URBAN,13607,13546,27153,17300,9853,198,,,,,,,,,,,,,
,DHARWAD,RURAL,6848,5746,12594,10727,1867,19,,,,,,,,,,,,,
,DHARWAD,TOTAL,20455,19292,39747,28027,11720,217,,,,,,,,,,,,,
,Hubli-Dharwad MC,,10297,11282,21579,15301,6278,152,,,,,,,,,,,,,
10,UTTARA KANNADA,URBAN,8986,9233,18219,9745,8474,162,,,,,,,,,,,,,
,UTTARA KANNADA,RURAL,6249,5771,12020,11427,593,52,,,,,,,,,,,,,
,UTTARA KANNADA,TOTAL,15235,15004,30239,21172,9067,214,,,,,,,,,,,,,
11,HAVERI,URBAN,4883,4490,9373,6505,2868,47,,,,,,,,,,,,,
,HAVERI,RURAL,13468,12164,25632,23779,1853,61,,,,,,,,,,,,,
,HAVERI,TOTAL,18351,16654,35005,30284,4721,108,,,,,,,,,,,,,
12,BELLARY,URBAN,8051,7723,15774,12029,3745,368,,,,,,,,,,,,,
,BELLARY,RURAL,14153,13110,27263,26504,759,94,,,,,,,,,,,,,
,BELLARY,TOTAL,22204,20833,43037,38533,4504,462,,,,,,,,,,,,,
,Hospet CMC,,984,1590,2574,2289,285,33,,,,,,,,,,,,,
,Bellary CMC,,5234,4493,9727,7024,2703,264,,,,,,,,,,,,,
13,CHITRADURGA,URBAN,6951,7131,14082,8054,6028,56,,,,,,,,,,,,,
,CHITRADURGA,RURAL,9065,8773,17838,17679,159,27,,,,,,,,,,,,,
,CHITRADURGA,TOTAL,16016,15904,31920,25733,6187,83,,,,,,,,,,,,,
,Chitradurga CMC,,2460,2889,5349,2497,2852,22,,,,,,,,,,,,,
