District,Sex,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,
BAGALKOTE,M,2073,1818,2202,2069,1856,2104,2008,2041,2101,2548,2085,2438,,
BAGALKOTE,F,1918,1565,1919,1847,1764,1899,1881,1812,1895,2326,1882,2252,,
BANGALORE (R),M,622,453,456,363,688,629,458,376,568,378,377,703,,
BANGALORE (R),F,524,393,368,298,537,512,466,363,385,379,318,622,,
BANGALORE (U),M,6688,6509,6805,6584,6400,6588,6446,6417,6446,6378,6366,6507,,
BANGALORE (U),F,6549,6383,6540,6477,6214,6480,6486,6178,6265,6468,6318,6274,,
BELGAUM,M,4629,3930,4161,3809,3964,4118,3656,3775,3752,4455,3806,3599,,
BELGAUM,F,4266,3422,3483,3319,3573,3505,3235,3332,3159,4059,3416,3183,,
BELLARY,M,2201,1631,2217,2112,2502,2450,2331,2276,2157,2609,1831,2532,,
BELLARY,F,2030,1621,2069,1900,2354,2332,2260,2105,2232,2384,1723,2251,,
BIDAR,M,1355,1074,1314,1391,1795,1823,1767,1849,1772,1557,1552,1537,,
BIDAR,F,1113,1042,1435,1233,1156,1343,1473,1335,1381,1351,1290,1232,,
BIJAPUR,M,2437,1984,2584,2134,2437,2441,2547,2689,2357,3037,2546,2621,,
BIJAPUR,F,2199,1814,2561,1944,2370,2305,2381,2494,2319,2693,2358,2298,,
CHAMARAJANAGAR,M,440,350,477,508,516,591,446,499,475,529,501,460,,
CHAMARAJANAGAR,F,431,324,456,450,476,513,483,406,477,466,433,443,,
CHIKBALLAPUR,M,648,547,681,636,615,563,664,770,631,704,566,609,,
CHIKBALLAPUR,F,574,539,672,622,580,506,614,655,607,612,510,593,,
CHIKMAGALUR,M,630,599,860,645,625,787,666,633,572,666,696,617,,
CHIKMAGALUR,F,539,555,772,525,587,688,576,549,493,633,605,559,,
CHITRADURGA,M,851,734,906,898,881,1123,1096,1530,1064,1403,956,1099,,
CHITRADURGA,F,826,767,866,922,843,1004,999,1401,914,1217,950,1168,,
DAKSHINA KANNADA,M,1445,1475,1480,2013,1912,2038,1753,1653,1729,1874,1252,1746,,
DAKSHINA KANNADA,F,1289,1194,1333,1660,1712,1806,1639,1455,1446,1738,1129,1493,,
DAVANAGERE,M,2022,1673,1678,1767,2006,1940,1876,1524,1632,1749,1821,1704,,
DAVANAGERE,F,1840,1424,1553,1564,1798,1533,1600,1595,1519,1623,1656,1674,,
DHARWAD,M,1526,1895,2010,1892,1745,1899,1963,1937,1798,1577,1187,1897,,
DHARWAD,F,1466,1457,1758,1852,1646,1401,1829,1639,1617,1391,1122,1847,,
GADAG,M,777,662,965,966,894,893,936,876,927,988,952,836,,
GADAG,F,699,631,812,803,799,813,878,830,891,893,879,767,,
GULBARGA,M,2773,2774,2484,2409,2734,2960,3274,3740,3373,3106,3281,3278,,
GULBARGA,F,2596,2627,2570,2350,2588,2874,3013,3530,3800,2970,3161,2967,,
HASSAN,M,1288,902,1358,1057,1258,977,1120,906,996,1384,1127,1162,,
HASSAN,F,1085,868,1258,1009,1121,867,1296,866,842,1198,1092,962,,
HAVERI,M,1219,1101,1162,1060,1134,1189,1202,1278,1140,1236,1049,1204,,
HAVERI,F,1127,1047,1110,1001,1140,1052,1158,1255,1034,1231,974,1051,,
KODAGU,M,344,297,451,318,340,320,287,413,307,380,358,330,,
KODAGU,F,333,247,375,284,336,328,203,373,248,370,305,261,,
KOLAR,M,815,946,1297,1281,877,1098,1026,1185,964,1219,1246,1141,,
