District,RegisteredBirth,BirthRate,RegisteredDeath,DeathRate,RegisteredInfantDeath,RegisteredStillBirth,StillBirthRate,,,,,,,
BAGALKOTE,41578,20.9,5392,5.78,581,339,5.6,,,,,,,
BANGALORE (R),7112,15.88,1981,5.54,61,45,6.08,,,,,,,
BANGALORE (U),152671,14.16,57621,5.45,1884,270,1.8,,,,,,,
BELGAUM,59891,16.32,11403,5.9,753,439,11.94,,,,,,,
BELLARY,35984,20.32,8995,7.01,962,318,8.73,,,,,,,
BIDAR,23712,26.14,4050,8.37,396,200,7.05,,,,,,,
BIJAPUR,34550,22.53,5033,5.58,499,137,3.91,,,,,,,
CHAMARAJANAGAR,6545,10.04,1707,8.83,25,72,7.94,,,,,,,
CHICKBALLAPUR,12651,12.03,1885,5.9,45,26,1.33,,,,,,,
CHIKMAGALUR,11936,21.68,1828,7.12,241,25,3.73,,,,,,,
CHITRADURGA,18155,16.3,3324,7.72,265,113,5.84,,,,,,,
DAKSHINA KANNADA,32142,14.5,10399,4.09,613,295,6.53,,,,,,,
DAVANAGERE,31430,18.56,6827,7.18,1381,290,5.79,,,,,,,
DHARWAD,36125,20.68,10194,6.97,1358,555,5.64,,,,,,,
GADAG,15788,13.07,4049,7.05,306,228,9.06,,,,,,,
GULBARGA,45713,27.36,5712,5.43,516,154,6.36,,,,,,,
HASSAN,21117,25.38,3723,6.7,345,15,0.95,,,,,,,
HAVERI,17329,15.27,2709,5.26,292,242,5.81,,,,,,,
KODAGU,4866,18.96,921,5.36,103,6,2.53,,,,,,,
KOLAR,17899,23.65,3267,4.88,292,58,4.58,,,,,,,
KOPPAL,15749,18.99,1812,5.26,44,0,1.47,,,,,,,
MANDYA,16137,12.74,2904,7.08,251,19,0.74,,,,,,,
MYSORE,43471,16.1,13268,6.51,1702,45,0.49,,,,,,,
RAICHUR,17132,21.13,3885,5.76,351,104,3.7,,,,,,,
RAMANAGAR,8154,13.96,1719,5.5,28,11,0.24,,,,,,,
SHIMOGA,30719,13.55,6562,5.98,549,269,4.55,,,,,,,
