District,Sex,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,,
BAGALKOTE,M,1824,1632,2006,1942,2046,1954,2259,2237,2163,2103,2257,2877,,
BAGALKOTE,F,1591,1450,1766,1655,1785,1767,1849,1799,1869,1929,2057,2584,,
BANGALORE (R),M,532,458,539,522,389,523,440,462,424,410,484,467,,
BANGALORE (R),F,456,416,460,425,409,459,405,382,422,366,415,432,,
BANGALORE (U),M,7380,6870,7176,6907,6878,6522,6515,7071,6727,6939,6983,6894,,
BANGALORE (U),F,6868,6305,6656,6349,6298,6178,6102,6600,6193,6669,6621,6460,,
BELGAUM,M,3608,3761,3740,3837,4127,4699,4885,4551,4868,4357,4382,5048,,
BELGAUM,F,3082,3157,3230,3286,3467,3614,3794,3977,3840,3627,3714,4210,,
BELLARY,M,2373,2350,2400,2158,2424,2315,2437,2382,2087,2409,2702,2823,,
BELLARY,F,2263,2143,2210,2004,2149,2181,2196,2186,1985,2160,2548,2503,,
BIDAR,M,1979,2465,2390,2072,1912,2295,2317,2613,2247,2002,2458,2417,,
BIDAR,F,1414,1858,1593,1545,1418,1764,1754,1925,1718,1497,1796,1890,,
BIJAPUR,M,2568,2096,2824,2455,2086,2072,2478,2417,3325,2713,2510,2054,,
BIJAPUR,F,2102,1946,2258,1838,1783,1925,1919,1963,3046,2271,2114,2006,,
CHAMARAJANAGAR,M,491,431,456,518,492,431,504,427,494,417,577,521,,
CHAMARAJANAGAR,F,463,390,431,516,449,446,467,407,416,395,519,444,,
CHIKBALLAPUR,M,625,778,659,769,704,549,707,836,724,750,832,849,,
CHIKBALLAPUR,F,640,674,641,708,665,537,691,786,683,705,763,721,,
CHIKMAGALUR,M,753,604,767,703,617,658,590,686,544,536,651,686,,
CHIKMAGALUR,F,656,572,719,685,605,513,541,623,494,514,619,669,,
CHITRADURGA,M,898,781,1362,1365,1153,1108,961,1076,1063,1002,1166,988,,
CHITRADURGA,F,837,790,1316,1159,999,1051,851,990,919,945,1113,880,,
DAKSHINA KANNADA,M,1859,2920,1411,2227,1546,1559,1844,1803,1647,1382,2073,1848,,
DAKSHINA KANNADA,F,1657,2447,1099,2026,1395,1365,1632,1547,1289,1234,1920,1653,,
DAVANAGERE,M,891,846,1140,1468,1215,1220,1277,1345,1514,1477,2069,3352,,
DAVANAGERE,F,906,831,1077,1357,1155,1194,1154,1409,1274,1411,1919,3259,,
DHARWAD,M,1587,1801,1602,1901,1425,1542,1677,1518,1607,1575,1940,1614,,
DHARWAD,F,1478,1511,1360,1561,1306,1389,1425,1328,1507,1368,1751,1591,,
GADAG,M,800,746,873,805,791,871,842,944,847,862,1028,858,,
GADAG,F,778,692,808,690,691,843,767,744,693,737,908,840,,
GULBARGA,M,4091,2354,2653,2116,2732,2821,2634,3153,2784,2813,3288,2768,,
GULBARGA,F,3690,2181,2235,1793,2132,2445,2259,2693,2358,2532,2809,2373,,
HASSAN,M,1022,1087,1331,1120,1208,1136,1095,1036,955,889,1062,1095,,
HASSAN,F,986,1126,1240,1106,1125,1054,989,984,930,847,1041,988,,
HAVERI,M,1189,1026,1174,1034,1078,1178,1237,1381,1172,1003,1212,1203,,
HAVERI,F,1086,970,1100,954,950,1067,1148,1124,1014,913,1181,1059,,
KODAGU,M,393,398,431,397,372,346,366,366,302,342,289,383,,
KODAGU,F,332,348,382,338,296,330,295,318,289,287,224,355,,
KOLAR,M,981,992,1230,1162,1019,1195,1042,986,965,940,1176,913,,
KOLAR,F,1040,1010,1160,1040,955,1104,988,942,891,869,1107,907,,
KOPPAL,M,1348,1062,1294,1246,1160,1234,1157,1091,1211,1201,1236,1186,,
KOPPAL,F,1342,1176,1288,1163,1290,1249,1180,1105,1117,1116,1273,1097,,
MANDYA,M,933,897,897,1023,907,919,781,832,786,823,950,931,,
MANDYA,F,746,793,788,853,823,796,693,672,740,714,835,817,,
MYSORE,M,2171,2330,2199,1551,2064,2168,2211,2457,2788,2352,2481,3764,,
MYSORE,F,1894,2229,2020,1467,1724,1950,2004,2232,2596,2165,2413,3419,,
RAICHUR,M,1177,973,1340,965,1181,1130,1455,1160,1129,1307,1272,1442,,
RAICHUR,F,1214,994,1345,1063,1164,1132,1334,1142,1114,1235,1326,1308,,
RAMANAGAR,M,474,450,461,444,499,444,433,432,382,363,596,437,,
RAMANAGAR,F,459,395,422,420,385,406,409,368,360,302,501,373,,
SHIMOGA,M,1541,1456,1685,1518,1740,1539,1383,1364,1320,1213,1577,1291,,
SHIMOGA,F,1496,1367,1469,1437,1518,1356,1285,1276,1207,1205,1395,1115,,
TUMKUR,M,1584,1638,1879,1781,1738,1664,1775,1673,1597,1540,2116,1723,,
TUMKUR,F,1572,1500,1760,1778,1562,1586,1515,1478,1511,1520,1894,1558,,
UDUPI,M,765,858,990,867,976,762,772,855,807,847,887,803,,
UDUPI,F,716,788,843,773,893,678,649,801,713,756,808,749,,
UTTARA KANNADA,M,1072,1119,1333,1168,1235,1164,1132,1105,1090,1008,1164,1042,,
UTTARA KANNADA,F,907,953,1198,973,1149,1061,1034,976,1010,971,1098,974,,
YADGIR,M,1420,1003,1212,1038,1081,1137,1082,1163,1071,1022,1174,1079,,
YADGIR,F,1267,929,1106,1005,1012,1028,1050,1052,896,934,1120,991,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Institution,Area,Natural,Caesarean,Forceps/ Vaccum,Not Stated,,,,,,,,,,
Government Hospital,Rural,166330,2232,105,0,,,,,,,,,,
Government Hospital,Urban,385750,81805,4343,0,,,,,,,,,,
Government Hospital,Total,552080,84037,4448,0,,,,,,,,,,
Private & Non-Government,Rural,28810,9418,684,0,,,,,,,,,,
Private & Non-Government,Urban,201225,175190,4590,0,,,,,,,,,,
Private & Non-Government,Total,230035,184608,5274,0,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
EducationLevelFather,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13above,NotStated,Area
Illiterate,745,6248,2544,3083,756,212,109,23,0,1,0,0,0,0,ALL
Below Primary,35513,28858,12580,2707,612,208,39,19,0,0,0,0,0,0,ALL
Primary but Below Matric,112495,90470,48276,8282,1629,440,0,0,0,0,0,0,0,0,ALL
Matric but Below graduate,268081,182865,46962,7938,1454,0,0,0,0,0,0,0,0,0,ALL
Graduate & Above,160926,66848,15473,0,0,0,0,0,0,0,0,0,0,0,ALL
Not Stated,0,6,3,309,372,116,38,18,0,0,0,0,0,0,ALL
Illiterate,575,6103,1499,1611,399,104,70,14,0,1,0,0,0,0,Urban
Below Primary,25257,21433,8242,1727,378,106,28,17,0,0,0,0,0,0,Urban
Primary but Below Matric,82031,65673,30756,5412,1092,287,0,0,0,0,0,0,0,0,Urban
Matric but Below graduate,214638,150808,36734,6451,1169,0,0,0,0,0,0,0,0,0,Urban
Graduate & Above,140258,60728,12980,0,0,0,0,0,0,0,0,0,0,0,Urban
Not Stated,0,0,0,131,149,34,13,10,0,0,0,0,0,0,Urban
Illiterate,170,145,1045,1472,357,108,39,9,0,0,0,0,0,0,Rural
Below Primary,10256,7425,4338,980,234,102,11,2,0,0,0,0,0,0,Rural
Primary but Below Matric,30464,24797,17520,2870,537,153,0,0,0,0,0,0,0,0,Rural
Matric but Below graduate,53443,32057,10228,1487,285,0,0,0,0,0,0,0,0,0,Rural
Graduate & Above,20668,6120,2493,0,0,0,0,0,0,0,0,0,0,0,Rural
Not Stated,0,6,3,178,223,82,25,8,0,0,0,0,0,0,Rural
